"species","tree","branch","treatment","type","kstem","kstem_leafarea"
"quag",70,4,"burned","kmax",0.00955302130990804,2.83674465788931
"quag",76,3,"burned","kmax",0.0223359397334551,7.27839537716863
"quag",66,3,"burned","kmax",0.0154147181477273,3.68632058248692
"quag",65,3,"burned","kmax",0.00781516582824772,2.24567277614083
"quag",79,3,"burned","kmax",0.0110176163611832,4.46527371369993
"quag",72,3,"burned","kmax",0.0285126737394433,9.49725992253791
"quag",103,1,"unburned","kmax",0.0143991193387292,3.95221896048341
"quag",101,1,"unburned","kmax",0.00367002111822487,1.91087218485102
"quag",121,2,"unburned","kmax",0.00817770261421181,5.30159002542095
"quag",66,1,"burned","kmax",0.0164389201255506,5.1310693943288
"quag",79,1,"burned","kmax",0.034842816592662,11.5285764459723
"quag",77,2,"burned","kmax",0.05936738111245,25.5124113074559
"quag",65,1,"burned","kmax",0.0411020950684756,8.13274799035905
"quag",68,2,"burned","kmax",0.0410989185802621,14.4292801250789
"quag",68,1,"burned","kmax",0.0248743259391109,16.324949753305
"quag",77,1,"burned","kmax",0.0289713138959983,18.7358946491614
"quag",66,2,"burned","kmax",0.0433712633581625,30.7903332089752
"quag",86,2,"burned","kmax",0.028757966083778,23.0746739017716
"quag",73,1,"burned","kmax",0.0267079436119919,5.83270225201832
"quag",70,2,"burned","kmax",0.0246540759809811,7.57864067535
"quag",70,1,"burned","kmax",0.0226163455551071,5.47757164259418
"quag",73,2,"burned","kmax",0.0289851429196134,30.1739984588938
"quag",78,2,"burned","kmax",0.0393458610487231,9.48458708145866
"quag",74,1,"burned","kmax",0.0641759831835988,12.0954395536203
"quag",76,2,"burned","kmax",0.0189975606626748,7.59993625742081
"quag",78,1,"burned","kmax",0.018776395840762,7.268657417452
"quag",70,3,"burned","kmax",0.0192783450184428,4.97608409954127
"quag",78,3,"burned","kmax",0.0171441878296802,2.06790676545488
"quag",73,3,"burned","kmax",0.0264319126870642,5.25474894874142
"quag",68,3,"burned","kmax",0.0144987826046361,4.6338274168673
"quag",134,1,"unburned","kmax",0.0264293580199745,9.79990285882847
"quag",103,2,"unburned","kmax",0.0118609557167387,3.98513446787579
"quag",121,1,"unburned","kmax",0.0469060269203572,14.4852161448821
"quag",114,3,"unburned","kmax",0.03687067,8.33744205503923
"quag",114,1,"unburned","kmax",0.0395336916723989,14.5200322005358
"quag",116,3,"unburned","kmax",0.0231405300886806,9.77135803085913
"quag",114,2,"unburned","kmax",0.0249860248125873,9.44365591223347
"quag",132,3,"unburned","kmax",0.0301767859723587,12.4702615696346
"quag",121,3,"unburned","kmax",0.0507384969630105,12.5054831939986
