"species","tree","branch","type","kstem","plc","treatment","leaf_area","kstem_leafarea"
"quag",70,4,"knative",0.00816812290943492,10.9872498757437,"burned",0.0033676,2.42550270502284
"quag",76,3,"knative",0.0162155668432233,24.7685676976228,"burned",0.0030688,5.28400900782824
"quag",66,3,"knative",0.00928699705044905,38.7010752881877,"burned",0.0041816,2.22091951656042
"quag",65,3,"knative",0.00562765037640872,25.4915861189322,"burned",0.0034801,1.61709444452996
"quag",70,4,"kmax",0.00955302130990804,0,"burned",0.0033676,2.83674465788931
"quag",76,3,"kmax",0.0223359397334551,0,"burned",0.0030688,7.27839537716863
"quag",66,3,"kmax",0.0154147181477273,0,"burned",0.0041816,3.68632058248692
"quag",79,3,"knative",0.0112379831262942,-5.50112564053389,"burned",0.0024674,4.55458503943187
"quag",72,3,"knative",0.0212179440762619,23.1247057731053,"burned",0.0030022,7.0674652175944
"quag",134,2,"knative",0.0939186236499165,-1411.30114054609,"unburned",0.0020891,44.9564997606225
"quag",65,3,"kmax",0.00781516582824772,0,"burned",0.0034801,2.24567277614083
"quag",101,2,"knative",0.150091273698338,-1161.92338170216,"unburned",0.003608,41.5995769673886
"quag",103,1,"knative",0.0112741263318299,20.0427707890735,"unburned",0.0036433,3.09448201680616
"quag",79,3,"kmax",0.0110176163611832,0,"burned",0.0024674,4.46527371369993
"quag",72,3,"kmax",0.0285126737394433,0,"burned",0.0030022,9.49725992253791
"quag",134,2,"kmax",0.0062144215424849,0,"unburned",0.0020891,2.97468840289354
"quag",101,1,"knative",5.6284248511955e-06,99.7915542293496,"unburned",0.0019206,0.00293055547807742
"quag",121,2,"knative",0.00591933739706709,26.592242126659,"unburned",0.0015425,3.83749588140492
"quag",101,2,"kmax",0.0121435583875987,0,"unburned",0.003608,3.36573126042093
"quag",103,1,"kmax",0.0143991193387292,0,"unburned",0.0036433,3.95221896048341
"quag",101,1,"kmax",0.00367002111822487,0,"unburned",0.0019206,1.91087218485102
"quag",121,2,"kmax",0.00817770261421181,0,"unburned",0.0015425,5.30159002542095
"quag",66,1,"knative",0.016300944234854,0.83932453982879,"burned",0.0032038,5.08800306974655
"quag",79,1,"knative",0.0268638193498743,19.950603773251,"burned",0.0030223,8.88853500641045
"quag",66,1,"kmax",0.0164389201255506,0,"burned",0.0032038,5.1310693943288
"quag",86,1,"knative",0.043852214919492,-67.9249097760272,"burned",0.0032055,13.6803041396013
"quag",79,1,"kmax",0.034842816592662,0,"burned",0.0030223,11.5285764459723
"quag",79,2,"knative",0.0479145491545292,-34.2103371102814,"burned",0.0032688,14.6581464618604
"quag",86,1,"kmax",0.0328833741997791,0,"burned",0.0032055,10.2584227732894
"quag",77,2,"knative",0.0371785003100927,35.7597789232477,"burned",0.002327,15.9770091577536
"quag",65,1,"knative",0.0186791650983317,54.5542263302821,"burned",0.0050539,3.6959902448271
"quag",68,2,"knative",0.0164479433027039,59.5887830339731,"burned",0.0028483,5.77465270607166
"quag",68,1,"knative",0.0184990407931197,25.6299815383826,"burned",0.0015237,12.1408681453828
"quag",79,2,"kmax",0.0308311394536422,0,"burned",0.0032688,9.43194427730121
"quag",77,2,"kmax",0.05936738111245,0,"burned",0.002327,25.5124113074559
"quag",65,1,"kmax",0.0411020950684756,0,"burned",0.0050539,8.13274799035905
"quag",68,2,"kmax",0.0410989185802621,0,"burned",0.0028483,14.4292801250789
"quag",68,1,"kmax",0.0248743259391109,0,"burned",0.0015237,16.324949753305
"quag",77,1,"knative",0.0279611294056148,3.48684389672425,"burned",0.0015463,18.0826032500904
"quag",65,2,"knative",0.0506816719994485,-51.0324411134088,"burned",0.0033019,15.3492449799959
"quag",66,2,"knative",0.0165283476875366,61.8910162910301,"burned",0.0014086,11.7338830665459
"quag",86,2,"knative",0.0247812357009753,11.7621177197514,"burned",0.0012463,19.8838447412142
"quag",77,1,"kmax",0.0289713138959983,0,"burned",0.0015463,18.7358946491614
"quag",65,2,"kmax",0.0454271853727591,0,"burned",0.0033019,13.7578925384655
"quag",66,2,"kmax",0.0433712633581625,0,"burned",0.0014086,30.7903332089752
"quag",73,1,"knative",0.0247807977620009,7.21562797191823,"burned",0.004579,5.41183615680299
"quag",70,2,"knative",0.0103235157729347,58.1265354219781,"burned",0.0032531,3.17343941868824
"quag",70,1,"knative",0.0226039642134469,0.0547451029614954,"burned",0.0041289,5.47457294035867
"quag",76,1,"knative",0.0471558840289636,-10.6661817555338,"burned",0.0044591,10.575202177337
"quag",86,2,"kmax",0.028757966083778,0,"burned",0.0012463,23.0746739017716
"quag",73,1,"kmax",0.0267079436119919,0,"burned",0.004579,5.83270225201832
"quag",70,2,"kmax",0.0246540759809811,0,"burned",0.0032531,7.57864067535
"quag",70,1,"kmax",0.0226163455551071,0,"burned",0.0041289,5.47757164259418
"quag",76,1,"kmax",0.0433419105755969,0,"burned",0.0044591,9.71987857989211
"quag",73,2,"knative",0.016556822553883,41.9918110042159,"burned",0.0009606,17.235917711725
"quag",78,2,"knative",0.0310641230079791,21.0485622121433,"burned",0.0041484,7.48821786905291
"quag",72,2,"knative",0.0351942292954328,-69.9831068162901,"burned",0.0063873,5.51003229775223
"quag",74,2,"knative",0.0335682586633692,-23.1892167223841,"burned",0.0035183,9.54104501133195
"quag",74,1,"knative",0.0268570151463949,56.8187046526285,"burned",0.0053058,5.06182199600341
"quag",73,2,"kmax",0.0289851429196134,0,"burned",0.0009606,30.1739984588938
"quag",78,2,"kmax",0.0393458610487231,0,"burned",0.0041484,9.48458708145866
"quag",72,2,"kmax",0.0207045452660594,0,"burned",0.0063873,3.24151758427808
"quag",74,2,"kmax",0.0290271459918833,0,"burned",0.0035183,8.25033282888989
"quag",74,1,"kmax",0.0641759831835988,0,"burned",0.0053058,12.0954395536203
"quag",76,2,"knative",0.00948602186303649,49.0279219118349,"burned",0.0024997,3.79486412891007
"quag",78,1,"knative",0.0145299401606323,18.8020376221341,"burned",0.0025832,5.62478327680098
"quag",72,1,"knative",0.0289007516384778,-117.462984535566,"burned",0.004711,6.13473819538905
"quag",76,2,"kmax",0.0189975606626748,0,"burned",0.0024997,7.59993625742081
"quag",78,1,"kmax",0.018776395840762,0,"burned",0.0025832,7.268657417452
"quag",72,1,"kmax",0.0134000780908142,0,"burned",0.004711,2.84442328397669
"quag",70,3,"knative",0.0124535736606699,34.7979162581509,"burned",0.0038742,3.21448909727683
"quag",78,3,"knative",0.00896427367721503,-4.59870821354729,"burned",0.0082906,1.08125752987902
"quag",86,3,"knative",0.0620140354618748,-23.4725328363037,"burned",0.0031843,19.4749349815893
"quag",73,3,"knative",0.0230743759583379,12.702587090375,"burned",0.0050301,4.58725988714696
"quag",70,3,"kmax",0.0192783450184428,0,"burned",0.0038742,4.97608409954127
"quag",78,3,"kmax",0.0171441878296802,0,"burned",0.0082906,2.06790676545488
"quag",86,3,"kmax",0.0431089455701891,15.8287073790046,"burned",0.0031843,13.537966137044
"quag",86,3,"kmax",0.0512157342816381,0,"burned",0.0031843,16.0838282453406
"quag",77,3,"knative",0.032105312892679,-47.953017333674,"burned",0.0056319,5.70061842232266
"quag",68,3,"knative",0.00968442453042895,30.3011380879439,"burned",0.0031289,3.09515309867012
"quag",132,2,"knative",0.0296994432327667,-47.6448860422424,"unburned",0.0020155,14.735521326106
"quag",73,3,"kmax",0.0264319126870642,0,"burned",0.0050301,5.25474894874142
"quag",134,1,"knative",0.0113243207009879,57.1524942360334,"unburned",0.0026969,4.19901394229964
"quag",103,2,"knative",0.00189732624784375,83.7720953240109,"unburned",0.0029763,0.637478160079209
"quag",77,3,"kmax",0.0231641535073896,0,"burned",0.0056319,4.11302642223576
"quag",68,3,"kmax",0.0144987826046361,0,"burned",0.0031289,4.6338274168673
"quag",132,2,"kmax",0.0213652655519111,0,"unburned",0.0020155,10.6004790632156
"quag",132,1,"knative",0.0267742879010233,-61.7901185931473,"unburned",0.0030719,8.71587222924682
