"species","tree","branch","type","plc","treatment"
"quag",70,4,"knative",10.9872498757437,"burned"
"quag",76,3,"knative",24.7685676976228,"burned"
"quag",66,3,"knative",38.7010752881877,"burned"
"quag",65,3,"knative",25.4915861189322,"burned"
"quag",79,3,"knative",-5.50112564053389,"burned"
"quag",72,3,"knative",23.1247057731053,"burned"
"quag",103,1,"knative",20.0427707890735,"unburned"
"quag",101,1,"knative",99.7915542293496,"unburned"
"quag",121,2,"knative",26.592242126659,"unburned"
"quag",66,1,"knative",0.83932453982879,"burned"
"quag",79,1,"knative",19.950603773251,"burned"
"quag",77,2,"knative",35.7597789232477,"burned"
"quag",65,1,"knative",54.5542263302821,"burned"
"quag",68,2,"knative",59.5887830339731,"burned"
"quag",68,1,"knative",25.6299815383826,"burned"
"quag",77,1,"knative",3.48684389672425,"burned"
"quag",66,2,"knative",61.8910162910301,"burned"
"quag",86,2,"knative",11.7621177197514,"burned"
"quag",73,1,"knative",7.21562797191823,"burned"
"quag",70,2,"knative",58.1265354219781,"burned"
"quag",70,1,"knative",0.0547451029614954,"burned"
"quag",73,2,"knative",41.9918110042159,"burned"
"quag",78,2,"knative",21.0485622121433,"burned"
"quag",74,1,"knative",56.8187046526285,"burned"
"quag",76,2,"knative",49.0279219118349,"burned"
"quag",78,1,"knative",18.8020376221341,"burned"
"quag",70,3,"knative",34.7979162581509,"burned"
"quag",78,3,"knative",-4.59870821354729,"burned"
"quag",73,3,"knative",12.702587090375,"burned"
"quag",68,3,"knative",30.3011380879439,"burned"
"quag",134,1,"knative",57.1524942360334,"unburned"
"quag",103,2,"knative",83.7720953240109,"unburned"
"quag",121,1,"knative",74.4859532722842,"unburned"
