Slice,Count,Total Area,Average Size,%Area
95_001.jpg,6,29.669,4.945,4.993
100_001.jpg,5,62.030,12.406,10.439
101_001.jpg,4,54.241,13.560,9.128
103_001.jpg,3,22.106,7.369,3.720
102_001.jpg,4,11.457,2.864,1.928
104_001.jpg,6,30.835,5.139,5.189
105_001.jpg,5,51.562,10.312,8.677
106_001.jpg,2,12.218,6.109,2.056
110_001.jpg,6,34.578,5.763,5.819
115_001.jpg,5,28.148,5.630,4.737
116_001.jpg,4,45.066,11.266,7.584
118_001.jpg,5,22.560,4.512,3.797
120_001.jpg,5,29.916,5.983,5.034
121_001.jpg,4,16.109,4.027,2.711
122_001.jpg,5,30.177,6.035,5.078
123_001.jpg,4,38.511,9.628,6.481
125_001.jpg,3,26.264,8.755,4.420
126_001.jpg,3,19.047,6.349,3.205
127_001.jpg,4,39.809,9.952,6.699
131_001.jpg,3,42.890,14.297,7.218
132_001.jpg,6,30.356,5.059,5.108
134_001.jpg,6,40.019,6.670,6.735
135_001.jpg,7,18.735,2.676,3.153
2010_001.jpg,3,11.834,3.945,1.991
2011_001.jpg,4,10.787,2.697,1.815
2301_001.jpg,6,31.177,5.196,5.247
2345_001.jpg,11,22.679,2.062,3.816
2352_001.jpg,8,88.921,11.115,14.964
2353_001.jpg,9,102.150,11.350,17.190
2354_001.jpg,8,30.885,3.861,5.197
2381_001.jpg,5,16.668,3.334,2.805
2382_001.jpg,4,13.752,3.438,2.314
2384_001.jpg,5,22.314,4.463,3.755
