Slice,Count,Total Area,Average Size,%Area
gmin_24_001.jpg,7,20.276,2.897,3.412
gmin_65_001.jpg,4,38.619,9.655,6.499
gmin_65_002.jpg,6,41.313,6.886,6.952
gmin_66_001.jpg,6,38.949,6.491,6.554
gmin_66_002.jpg,8,14.219,1.777,2.393
gmin_68_001.jpg,8,14.825,1.853,2.495
gmin_68_002.jpg,6,31.488,5.248,5.299
gmin_70_002.jpg,14,46.997,3.357,7.909
gmin_72_001.jpg,11,42.827,3.893,7.207
gmin_72_002.jpg,8,70.825,8.853,11.919
gmin_73_001.jpg,6,12.697,2.116,2.137
gmin_73_002.jpg,9,23.429,2.603,3.943
gmin_74_001.jpg,11,49.959,4.542,8.407
gmin_74_002.jpg,9,37.275,4.142,6.273
gmin_76_001.jpg,10,34.829,3.483,5.861
gmin_76_002.jpg,6,50.726,8.454,8.536
gmin_77_001.jpg,10,59.400,5.940,9.996
gmin_77_002.jpg,7,38.034,5.433,6.401
gmin_78_001.jpg,8,28.520,3.565,4.799
gmin_78_002.jpg,13,61.409,4.724,10.334
gmin_79_001.jpg,9,12.512,1.390,2.105
gmin_79_002.jpg,7,21.385,3.055,3.599
gmin_86_001.jpg,13,27.587,2.122,4.642
gmin_86_002.jpg,18,33.305,1.850,5.605
