"t.day","sp","numbr","P.MPa","nomID","stemID","l.mm","d.mm","k.g.s.MPa","r2","K.g.mm.s.MPa","Ks.g.s.MPa.mm","ver","plc"
338.393516280905,"quag_stem","114_1",-2,"quag_stem 114_1 -2 MPa","quag_stem 114_1",77.81,2.01,-0.0422618928018189,0.997893631475376,-3.28839787890953,-1.03634024362042,"v18",-9.4612854801724
338.424490316469,"quag_stem","116_3",-2,"quag_stem 116_3 -2 MPa","quag_stem 116_3",52.11,1.07,-0.0163722740609527,0.981272873863464,-0.853159201316243,-0.948795556878774,"v18",29.2484917233539
338.460449842303,"quag_stem","114_2",-2,"quag_stem 114_2 -2 MPa","quag_stem 114_2",70.36,1.58,-0.0249766870671992,0.980680271477215,-1.75735970204814,-0.896306628333477,"v18",-0.290467917241899
338.492710211608,"quag_stem","132_3",-2,"quag_stem 132_3 -2 MPa","quag_stem 132_3",65.92,1.3,-0.0261799199241587,0.990450034012634,-1.72578032140054,-1.30019630220883,"v18",13.2448367823568
338.52042207022,"quag_stem","121_3",-2,"quag_stem 121_3 -2 MPa","quag_stem 121_3",42.45,1.65,-0.0438321452971,0.987982658397516,-1.8606745678619,-0.870187122014611,"v18",13.6116599412578
338.53705010192,"quag_stem","114_1",0,"quag_stem 114_1 0 MPa","quag_stem 114_1",75.99,2.01,-0.0395336916723989,0.967977325323721,-3.00416523018559,-0.946764181577365,"v18",0
338.551319153182,"quag_stem","116_3",0,"quag_stem 116_3 0 MPa","quag_stem 116_3",52.11,1.07,-0.0231405300886806,0.980337899806293,-1.20585302292115,-1.34102520213262,"v18",0
338.571206380984,"quag_stem","114_2",0,"quag_stem 114_2 0 MPa","quag_stem 114_2",70.13,1.58,-0.0249860248125873,0.991697830948519,-1.75226992010675,-0.893710685519083,"v18",0
338.585519532139,"quag_stem","132_3",0,"quag_stem 132_3 0 MPa","quag_stem 132_3",65.92,1.3,-0.0301767859723587,0.983432516340196,-1.98925373129789,-1.4986961628405,"v18",0
338.619225489398,"quag_stem","121_3",0,"quag_stem 121_3 0 MPa","quag_stem 121_3",42.45,1.65,-0.0507384969630105,0.997108918844562,-2.1538491960798,-1.00729695862069,"v18",0
