"t.day","sp","numbr","P.MPa","nomID","stemID","k.g.s.MPa","r2","Pleaf.MPa","ver","plc"
321.568178001606,"quag_kleaf","66_1",-2,"quag_kleaf 66_1 -2 MPa","quag_kleaf 66_1",0.000135598359795441,NA,-0.207,"v18",NA
321.626413027779,"quag_kleaf","79_1",-2,"quag_kleaf 79_1 -2 MPa","quag_kleaf 79_1",4.27074873813126e-05,NA,-0.641,"v18",NA
321.684667393057,"quag_kleaf","86_1",-2,"quag_kleaf 86_1 -2 MPa","quag_kleaf 86_1",0.000190227425481447,NA,-0.253,"v18",NA
321.725471553855,"quag_kleaf","79_2",-2,"quag_kleaf 79_2 -2 MPa","quag_kleaf 79_2",0.000231073835129181,NA,-0.174,"v18",NA
321.775951450371,"quag_kleaf","77_2",-2,"quag_kleaf 77_2 -2 MPa","quag_kleaf 77_2",0.000408679975613926,NA,-0.089,"v18",NA
321.807209542096,"quag_kleaf","65_1",-2,"quag_kleaf 65_1 -2 MPa","quag_kleaf 65_1",0.000449022638396474,NA,-0.099,"v18",NA
321.834958527869,"quag_kleaf","68_2",-2,"quag_kleaf 68_2 -2 MPa","quag_kleaf 68_2",0.000633890109287433,NA,-0.102,"v18",NA
321.871869023484,"quag_kleaf","68_1",-2,"quag_kleaf 68_1 -2 MPa","quag_kleaf 68_1",0.000109832551893477,NA,-0.367,"v18",NA
322.403005638843,"quag_kleaf","77_1",-2,"quag_kleaf 77_1 -2 MPa","quag_kleaf 77_1",0.000105949976993016,NA,-0.309,"v18",NA
322.437413274803,"quag_kleaf","65_2",-2,"quag_kleaf 65_2 -2 MPa","quag_kleaf 65_2",0.000375523350190238,NA,-0.087,"v18",NA
322.482291611226,"quag_kleaf","66_2",-2,"quag_kleaf 66_2 -2 MPa","quag_kleaf 66_2",0.000190355733000133,NA,-0.128,"v18",NA
322.519091242753,"quag_kleaf","86_2",-2,"quag_kleaf 86_2 -2 MPa","quag_kleaf 86_2",0.000169246766425838,NA,-0.168,"v18",NA
