"t.day","sp","numbr","P.MPa","nomID","stemID","l.mm","d.mm","k.g.s.MPa","r2","K.g.mm.s.MPa","Ks.g.s.MPa.mm","ver","plc"
211.520165216506,"quag_kleaf","921.2",-2,"quag_kleaf 921.2 -2 MPa","quag_kleaf 921.2",86.7,1.16,-0.00393351491492575,0.214751796355898,-0.341035743124062,-0.322696339412678,"v18",0
211.590176093529,"quag_kleaf","2277.2",-2,"quag_kleaf 2277.2 -2 MPa","quag_kleaf 2277.2",55.51,2.27,-0.0122337530344283,0.949440017801866,-0.679095630941115,-0.167798989301384,"v18",0
211.641288404443,"quag_kleaf","2370.3",-2,"quag_kleaf 2370.3 -2 MPa","quag_kleaf 2370.3",74.68,1.46,-0.00815162572459938,0.954779338084135,-0.608763409113082,-0.363624341279117,"v18",0
213.34801082243,"quag_kleaf","2370.2",-2,"quag_kleaf 2370.2 -2 MPa","quag_kleaf 2370.2",41.01,1.41,-0.00379275373686771,0.965952096554241,-0.155540830748945,-0.0996130660080053,"v18",0
213.399349228055,"quag_kleaf","1000.1",-2,"quag_kleaf 1000.1 -2 MPa","quag_kleaf 1000.1",30.91,1.41,-0.0100640585118232,0.999999445798963,-0.311080048600454,-0.199225099067569,"v18",0
213.47226672175,"quag_kleaf","1000.2",-2,"quag_kleaf 1000.2 -2 MPa","quag_kleaf 1000.2",48.43,1.83,-0.0211532322635132,0.998829678007055,-1.02445103852194,-0.389492541996221,"v18",0
321.559152106273,"quag_kleaf","66_1",-2,"quag_kleaf 66_1 -2 MPa","quag_kleaf 66_1",46.67,1.36,-0.0122995868840575,0.964258904307832,-0.574021719878963,-0.395148763671489,"v18",0
321.621261188945,"quag_kleaf","79_1",-2,"quag_kleaf 79_1 -2 MPa","quag_kleaf 79_1",113.45,2.42,-0.0123608541937065,0.999999959741841,-1.402338908276,-0.304882411231771,"v18",0
321.679224450138,"quag_kleaf","86_1",-2,"quag_kleaf 86_1 -2 MPa","quag_kleaf 86_1",105.9,2.12,-0.0265131402650412,0.95291445028277,-2.80774155406786,-0.79541820444005,"v18",0
321.720193102707,"quag_kleaf","79_2",-2,"quag_kleaf 79_2 -2 MPa","quag_kleaf 79_2",60.65,2.25,-0.0102705660495073,0.986984971674978,-0.622909830902619,-0.15666438113768,"v18",0
321.770554441829,"quag_kleaf","77_2",-2,"quag_kleaf 77_2 -2 MPa","quag_kleaf 77_2",70.77,1.58,-0.0164851726291918,0.922916859409888,-1.1666556669679,-0.595029694869776,"v18",0
321.80174383736,"quag_kleaf","65_1",-2,"quag_kleaf 65_1 -2 MPa","quag_kleaf 65_1",25.86,1.11,-0.014454966684367,0.993230785984804,-0.373805438457732,-0.386286718838934,"v18",0
321.829980357524,"quag_kleaf","68_2",-2,"quag_kleaf 68_2 -2 MPa","quag_kleaf 68_2",59.97,1.78,-0.0230976286460789,0.987135174397365,-1.38516478990535,-0.556636342154485,"v18",0
321.865064673658,"quag_kleaf","68_1",-2,"quag_kleaf 68_1 -2 MPa","quag_kleaf 68_1",49.04,1.22,-0.00925305615348715,0.964298057304643,-0.45376987376701,-0.38817370833757,"v18",0
322.396232301295,"quag_kleaf","77_1",-2,"quag_kleaf 77_1 -2 MPa","quag_kleaf 77_1",53.51,1.77,-0.0112071664063577,1,-0.599695474404199,-0.243721789016611,"v18",0
322.429527207384,"quag_kleaf","65_2",-2,"quag_kleaf 65_2 -2 MPa","quag_kleaf 65_2",48.87,2.16,-0.0585675514453497,0.95895786253788,-2.86219623913424,-0.78109170020104,"v18",0
322.475429200315,"quag_kleaf","66_2",-2,"quag_kleaf 66_2 -2 MPa","quag_kleaf 66_2",72.07,1.35,-0.0124565793416129,0.964160387112279,-0.89774567315004,-0.627185345497678,"v18",0
322.513975184121,"quag_kleaf","86_2",-2,"quag_kleaf 86_2 -2 MPa","quag_kleaf 86_2",61.07,1.4,-0.0167022664511558,0.984205287310382,-1.02000741217208,-0.662609067908407,"v18",0
322.577741945276,"quag_kleaf","73_1",-2,"quag_kleaf 73_1 -2 MPa","quag_kleaf 73_1",77.59,1.48,-0.0185426488686205,0.964207015966267,-1.43872412571627,-0.836304077258252,"v18",0
322.606942712176,"quag_kleaf","70_2",-2,"quag_kleaf 70_2 -2 MPa","quag_kleaf 70_2",95.21,2.28,-0.0328144856123391,0.993260006367753,-3.12426717515081,-0.765224014258238,"v18",0
322.647588673113,"quag_kleaf","70_1",-2,"quag_kleaf 70_1 -2 MPa","quag_kleaf 70_1",74.61,2.43,-0.0144663163828155,0.942521154880091,-1.07933186532186,-0.23273010767677,"v18",0
322.684028529017,"quag_kleaf","76_1",-2,"quag_kleaf 76_1 -2 MPa","quag_kleaf 76_1",1,1,-0.0143557847659725,0.942385615466058,-0.0143557847659725,-0.0182783528597428,"v18",0
322.786454392859,"quag_kleaf","73_2",-2,"quag_kleaf 73_2 -2 MPa","quag_kleaf 73_2",65.44,2.25,-0.012329297079867,0.964274546726509,-0.806829200906495,-0.202920858161229,"v18",0
322.825864654468,"quag_kleaf","78_2",-2,"quag_kleaf 78_2 -2 MPa","quag_kleaf 78_2",53.62,2.25,-0.0163114129526199,0.969541787587746,-0.874617962519478,-0.219970010156147,"v18",0
322.852295638265,"quag_kleaf","72_2",-2,"quag_kleaf 72_2 -2 MPa","quag_kleaf 72_2",61.39,1.54,-0.0289920162062332,0.999999989665621,-1.77981987490066,-0.955530885153107,"v18",0
322.884598834548,"quag_kleaf","74_2",-2,"quag_kleaf 74_2 -2 MPa","quag_kleaf 74_2",56.82,2.36,-0.00828189589363026,0.999999886096649,-0.470577324676071,-0.107576425350699,"v18",0
322.913356046795,"quag_kleaf","74_1",-2,"quag_kleaf 74_1 -2 MPa","quag_kleaf 74_1",73.25,2.18,-0.00828063365654581,0.923062094026102,-0.606556415341981,-0.162505600144393,"v18",0
323.401128824861,"quag_kleaf","76_2",-2,"quag_kleaf 76_2 -2 MPa","quag_kleaf 76_2",51.5,1.23,-0.0313706695848018,0.98685192186997,-1.61558948361729,-1.3596618537906,"v18",0
323.4395892306,"quag_kleaf","78_1",-2,"quag_kleaf 78_1 -2 MPa","quag_kleaf 78_1",55.78,1.58,-0.00831978288273759,0.999999996636801,-0.464077489199103,-0.23669356315883,"v18",0
323.510660621482,"quag_kleaf","72_1",-2,"quag_kleaf 72_1 -2 MPa","quag_kleaf 72_1",63.28,1.52,-0.021029332820268,0.99999997418842,-1.33073618086656,-0.73335609811684,"v18",0
326.372888667501,"quag_kleaf","70_3",-2,"quag_kleaf 70_3 -2 MPa","quag_kleaf 70_3",88.62,2.77,-0.00981175215458702,0.987016148304351,-0.869517475939502,-0.14428756209575,"v18",0
326.383702488773,"quag_kleaf","70_4",-2,"quag_kleaf 70_4 -2 MPa","quag_kleaf 70_4",112.86,1.86,-0.00777900285380101,0.924441846674642,-0.877938262079981,-0.323108368920192,"v18",0
