"t.day","sp","numbr","P.MPa","nomID","stemID","l.mm","d.mm","k.g.s.MPa","r2","K.g.mm.s.MPa","Ks.g.s.MPa.mm","ver","plc"
211.548678598611,"quag_kstem","921.2",-2,"quag_kstem 921.2 -2 MPa","quag_kstem 921.2",86.7,1.16,-0.00782291506709723,0.999079654876595,-0.67824673631733,-0.641773607139408,"v18",-12.9408962875617
211.604005446597,"quag_kstem","2277.2",-2,"quag_kstem 2277.2 -2 MPa","quag_kstem 2277.2",55.51,2.27,-1.58999174044619e-05,0.00013105971634707,-0.00088260441512168,-0.000218084349335476,"v18",99.9900816950457
211.657166241819,"quag_kstem","2370.3",-2,"quag_kstem 2370.3 -2 MPa","quag_kstem 2370.3",74.68,1.46,-0.0121721258373402,0.949206192637226,-0.909014357532569,-0.542969143714813,"v18",-158.845813732491
211.680177755938,"quag_kstem","921.2",0,"quag_kstem 921.2 0 MPa","quag_kstem 921.2",70.9,1.16,-0.00847013334613357,0.993246675037794,-0.60053245424087,-0.568238457666718,"v18",0
211.712062850603,"quag_kstem","2277.2",0,"quag_kstem 2277.2 0 MPa","quag_kstem 2277.2",54,2.27,-0.16479152719466,0.976970200671388,-8.89874246851164,-2.19880665437389,"v18",0
211.738878652315,"quag_kstem","2370.3",0,"quag_kstem 2370.3 0 MPa","quag_kstem 2370.3",72.3,1.46,-0.0131077230669838,0.201065389317029,-0.947688377742927,-0.566069768543915,"v18",-169.85841012187
211.738878652315,"quag_kstem","2370.3",0,"quag_kstem 2370.3 0 MPa","quag_kstem 2370.3",72.3,1.46,-0.00485725942766217,0.999999991355531,-0.351179856619975,-0.209765472303892,"v18",0
213.364144052882,"quag_kstem","2370.2",-2,"quag_kstem 2370.2 -2 MPa","quag_kstem 2370.2",41.01,1.41,-0.0204520615355186,0.974298572027682,-0.838739043571617,-0.537153924847207,"v18",-158.990590427561
213.435347757097,"quag_kstem","1000.1",-2,"quag_kstem 1000.1 -2 MPa","quag_kstem 1000.1",30.91,1.41,-0.00250439556702119,1,-0.0774108669766249,-0.0495762673038943,"v18",70.0358936991022
213.448423987456,"quag_kstem","2370.2",0,"quag_kstem 2370.2 0 MPa","quag_kstem 2370.2",37.04,1.41,-0.00874322986315427,0.943015053505317,-0.323849234131234,-0.207402872807245,"v18",0
213.488586286389,"quag_kstem","1000.2",-2,"quag_kstem 1000.2 -2 MPa","quag_kstem 1000.2",48.43,1.83,-0.050015219868797,0.999231352017297,-2.42223709824584,-0.920925695067381,"v18",35.3837241620563
213.53271861735,"quag_kstem","1000.1",0,"quag_kstem 1000.1 0 MPa","quag_kstem 1000.1",29.5,1.41,-0.00875746855019558,0.993187024439128,-0.25834532223077,-0.165452180705983,"v18",0
213.606463733611,"quag_kstem","1000.2",0,"quag_kstem 1000.2 0 MPa","quag_kstem 1000.2",56.5,1.83,-0.0663477622477327,0.985678474604658,-3.7486485669969,-1.42522248941899,"v18",0
213.644928738077,"quag_kstem","1000.3",0,"quag_kstem 1000.3 0 MPa","quag_kstem 1000.3",31.3,1.29,-0.0125100672772465,0.94963084197588,-0.391565105777816,-0.299595082636093,"v18",0
326.404997420601,"quag_kstem","70_4",-2,"quag_kstem 70_4 -2 MPa","quag_kstem 70_4",112.86,1.86,-0.00816812290943492,0.940555893118119,-0.921854351558825,-0.339270844863825,"v18",10.9872498757437
326.446921365347,"quag_kstem","76_3",-2,"quag_kstem 76_3 -2 MPa","quag_kstem 76_3",89.15,2.65,-0.0162155668432233,0.997232983911251,-1.44561778407336,-0.262102916234193,"v18",24.7685676976228
326.486714357397,"quag_kstem","66_3",-2,"quag_kstem 66_3 -2 MPa","quag_kstem 66_3",85.71,1.9,-0.00928699705044905,0.997367395162015,-0.795988517193988,-0.280743506162463,"v18",38.7010752881877
326.528416223228,"quag_kstem","65_3",-2,"quag_kstem 65_3 -2 MPa","quag_kstem 65_3",45.02,1.69,-0.00562765037640872,0.99392655699079,-0.253356819945921,-0.112945597872446,"v18",25.4915861189322
326.545250320647,"quag_kstem","70_4",0,"quag_kstem 70_4 0 MPa","quag_kstem 70_4",108.41,1.86,-0.00955302130990804,0.952249472362165,-1.03564304020713,-0.381148593196169,"v18",0
326.562038054861,"quag_kstem","76_3",0,"quag_kstem 76_3 0 MPa","quag_kstem 76_3",86.03,2.65,-0.0223359397334551,0.997856852546494,-1.92156089526914,-0.348395488711054,"v18",0
326.578679181445,"quag_kstem","66_3",0,"quag_kstem 66_3 0 MPa","quag_kstem 66_3",84.24,1.9,-0.0154147181477273,0.952232787652641,-1.29853585676455,-0.457990914983152,"v18",0
326.622425727372,"quag_kstem","79_3",-2,"quag_kstem 79_3 -2 MPa","quag_kstem 79_3",62.68,2.1,-0.0112379831262942,0.979993586182313,-0.704396782356119,-0.203370938430843,"v18",-5.50112564053389
326.662940737384,"quag_kstem","72_3",-2,"quag_kstem 72_3 -2 MPa","quag_kstem 72_3",55.95,1.85,-0.0212179440762619,0.990035708568192,-1.18714397106685,-0.441641679841126,"v18",23.1247057731053
326.707259729143,"quag_kstem","134_2",-2,"quag_kstem 134_2 -2 MPa","quag_kstem 134_2",19.14,1.34,-0.0939186236499165,0.972370225368821,-1.7976024566594,-1.2746594639852,"v18",-1411.30114054609
326.721981994548,"quag_kstem","65_3",0,"quag_kstem 65_3 0 MPa","quag_kstem 65_3",43.51,1.69,-0.00781516582824772,0.99999756907903,-0.340037865187058,-0.151587709346132,"v18",0
326.760485842962,"quag_kstem","101_2",-2,"quag_kstem 101_2 -2 MPa","quag_kstem 101_2",40.85,1.67,-0.150091273698338,0.998820032211942,-6.13122853057712,-2.79914038615198,"v18",-1161.92338170216
326.792928932604,"quag_kstem","103_1",-2,"quag_kstem 103_1 -2 MPa","quag_kstem 103_1",48.17,2.06,-0.0112741263318299,0.967886693526027,-0.543074665404245,-0.162942817357079,"v18",20.0427707890735
