"t.day","sp","numbr","P.MPa","nomID","stemID","l.mm","d.mm","k.g.s.MPa","r2","K.g.mm.s.MPa","Ks.g.s.MPa.mm","ver","plc"
321.59112775272,"quag_stem","66_1",-2,"quag_stem 66_1 -2 MPa","quag_stem 66_1",46.67,1.36,-0.016300944234854,0.981249216705608,-0.760765067440634,-0.523700350410104,"v18",0.83932453982879
321.64231054471,"quag_stem","79_1",-2,"quag_stem 79_1 -2 MPa","quag_stem 79_1",113.45,2.42,-0.0268638193498743,0.998022292352911,-3.04770030524324,-0.662600325991584,"v18",19.950603773251
321.667874494932,"quag_stem","66_1",0,"quag_stem 66_1 0 MPa","quag_stem 66_1",46.67,1.36,-0.0164389201255506,0.999999791874673,-0.767204402259444,-0.528133101130854,"v18",0
321.694359401296,"quag_stem","86_1",-2,"quag_stem 86_1 -2 MPa","quag_stem 86_1",105.9,2.12,-0.043852214919492,0.981654542728692,-4.6439495599742,-1.31560613730745,"v18",-67.9249097760272
321.707439903658,"quag_stem","79_1",0,"quag_stem 79_1 0 MPa","quag_stem 79_1",109.27,2.42,-0.034842816592662,0.989730401009783,-3.80727456908017,-0.827739317501776,"v18",0
321.736968859525,"quag_stem","79_2",-2,"quag_stem 79_2 -2 MPa","quag_stem 79_2",60.65,2.25,-0.0479145491545292,0.999380288456524,-2.9060174062222,-0.730875314427814,"v18",-34.2103371102814
321.754757125322,"quag_stem","86_1",0,"quag_stem 86_1 0 MPa","quag_stem 86_1",84.1,2.12,-0.0328833741997791,0.979672352558486,-2.76549177020142,-0.783449066051108,"v18",0
321.785810109686,"quag_stem","77_2",-2,"quag_stem 77_2 -2 MPa","quag_stem 77_2",70.77,1.58,-0.0371785003100927,0.995934104513778,-2.63112246694526,-1.34195207977722,"v18",35.7597789232477
321.81861158427,"quag_stem","65_1",-2,"quag_stem 65_1 -2 MPa","quag_stem 65_1",25.86,1.11,-0.0186791650983317,0.964218441654503,-0.483043209442857,-0.499171914680979,"v18",54.5542263302821
321.843906352454,"quag_stem","68_2",-2,"quag_stem 68_2 -2 MPa","quag_stem 68_2",59.97,1.78,-0.0164479433027039,0.979441973657146,-0.986383159863151,-0.396383678007382,"v18",59.5887830339731
321.882536727441,"quag_stem","68_1",-2,"quag_stem 68_1 -2 MPa","quag_stem 68_1",49.04,1.22,-0.0184990407931197,0.964227761172817,-0.907192960494589,-0.776050760552993,"v18",25.6299815383826
321.895500785546,"quag_stem","79_2",0,"quag_stem 79_2 0 MPa","quag_stem 79_2",70.23,2.25,-0.0308311394536422,0.986908610546151,-2.16527092382929,-0.544574531414261,"v18",0
321.905777838473,"quag_stem","77_2",0,"quag_stem 77_2 0 MPa","quag_stem 77_2",68.99,1.58,-0.05936738111245,0.981394258231201,-4.09575562294793,-2.08895931129174,"v18",0
321.918103520994,"quag_stem","65_1",0,"quag_stem 65_1 0 MPa","quag_stem 65_1",25.86,1.11,-0.0411020950684756,0.949313329603094,-1.06290017847078,-1.09839017882887,"v18",0
321.9317851942,"quag_stem","68_2",0,"quag_stem 68_2 0 MPa","quag_stem 68_2",59.39,1.78,-0.0410989185802621,0.967284443596606,-2.44086477448177,-0.980875380072359,"v18",0
321.941229122405,"quag_stem","68_1",0,"quag_stem 68_1 0 MPa","quag_stem 68_1",49.04,1.22,-0.0248743259391109,0.985435902461791,-1.219836944054,-1.04349948622578,"v18",0
322.416636039319,"quag_stem","77_1",-2,"quag_stem 77_1 -2 MPa","quag_stem 77_1",53.51,1.77,-0.0279611294056148,0.997456737752572,-1.49620003449445,-0.608069536452629,"v18",3.48684389672425
322.460135657895,"quag_stem","65_2",-2,"quag_stem 65_2 -2 MPa","quag_stem 65_2",48.87,2.16,-0.0506816719994485,0.951290612903349,-2.47681331061305,-0.675920921639006,"v18",-51.0324411134088
322.502593348068,"quag_stem","66_2",-2,"quag_stem 66_2 -2 MPa","quag_stem 66_2",72.07,1.35,-0.0165283476875366,0.977835210904679,-1.19119801784076,-0.832197762373114,"v18",61.8910162910301
322.530756522685,"quag_stem","86_2",-2,"quag_stem 86_2 -2 MPa","quag_stem 86_2",61.07,1.4,-0.0247812357009753,0.964344171687109,-1.51339006425856,-0.983116365522087,"v18",11.7621177197514
322.542660378496,"quag_stem","77_1",0,"quag_stem 77_1 0 MPa","quag_stem 77_1",53.51,1.77,-0.0289713138959983,0.999999252920087,-1.55025500657487,-0.630037977207952,"v18",0
